release_year,releases,region
2010,7.212024,COAST
2011,7.127122,COAST
2012,6.774934,COAST
2013,6.927118,COAST
2014,6.852735,COAST
2015,6.496552,COAST
2016,6.086062,COAST
2017,6.991384,COAST
2018,7.025226,COAST
1958,0.0153,SOG
1968,0.006995,SOG
1970,0.099851,SOG
1971,0.158703,SOG
1972,0.093694,SOG
1973,0.210741,SOG
1974,0.547949,SOG
1975,0.45831,SOG
1976,0.904938,SOG
1977,2.161422,SOG
1978,2.193338,SOG
1979,2.416039,SOG
1980,2.614823,SOG
1981,3.256738,SOG
1982,3.84549,SOG
1983,4.238624,SOG
1984,3.924624,SOG
1985,5.537394,SOG
1986,10.858928,SOG
1987,9.28261,SOG
1988,7.787415,SOG
1989,7.731205,SOG
1990,7.369101,SOG
1991,7.942876,SOG
1992,8.305524,SOG
1993,8.577802,SOG
1994,8.09486,SOG
1995,8.041686,SOG
1996,8.745614,SOG
1997,9.115466,SOG
1998,8.628857,SOG
1999,9.305593,SOG
2000,9.187579,SOG
2001,9.723573,SOG
2002,9.783563,SOG
2003,9.846003,SOG
2004,9.572618,SOG
2005,8.02614,SOG
2006,8.062512,SOG
2007,6.687154,SOG
2008,5.868431,SOG
2009,6.133231,SOG
2010,6.528238,SOG
2011,6.647992,SOG
2012,6.044904,SOG
2013,5.915625,SOG
2014,5.262928,SOG
2015,4.90696,SOG
2016,4.559646,SOG
2017,3.774516,SOG
2018,3.257672,SOG
